Wave-Number,Red,Green,Blue
25500,0.0022438363384615387,-0.0005956920115384616,0.009189014288461538
25000,0.009016201576923077,-0.0025728142076923075,0.04021733765384616
24500,0.029795404716981135,-0.009661066735849056,0.14448977301886792
24000,0.060688768301886784,-0.023842775660377357,0.365680079245283
23500,0.07648167264150943,-0.03415357735849057,0.6300433754716981
23000,0.05777822924528303,-0.027946527000000002,0.8718336188679244
22500,0.0,0.0,1.0
22000,-0.09322226269230768,0.060482221153846154,0.9195275807692307
21500,-0.2262254603773585,0.16376772641509432,0.7404338547169813
21250,-0.2917149245283019,0.22788473018867927,0.5950898905660378
21000,-0.344178558490566,0.2933976377358491,0.44151046415094336
20750,-0.3947194584905661,0.36949587358490565,0.3173034094339623
20500,-0.4239175471698114,0.4410562037735849,0.21640553584905659
20250,-0.4442138320754717,0.5314193547169811,0.14448195094339625
20000,-0.4365026716981132,0.6262124075471699,0.09049947
19750,-0.40800312452830184,0.7334833207547172,0.0534719103773585
19500,-0.3232488490566037,0.8382704924528303,0.027700233962264148
19250,-0.19906392641509432,0.9414124433962264,0.010462950754716984
19000,0.0,1.0,0.0
18750,0.24414751509433963,1.0329229811320755,-0.005516502660377358
18500,0.5613170226415095,1.0530415283018868,-0.008393464905660376
18250,0.8994844830188676,1.0171098735849056,-0.009678408075471698
18000,1.3038294905660377,0.966831254716981,-0.009745041962264151
17750,1.7508663396226416,0.8788078660377358,-0.009105968924528302
17500,2.240626490566038,0.7591894113207546,-0.00798250879245283
17250,2.6472003207547172,0.6023154773584906,-0.006607549169811321
17000,3.0336670943396227,0.45306375094339624,-0.005402890943396227
16750,3.1716771320754713,0.30513837735849053,-0.0039029049811320753
16500,3.081440754716981,0.17951760000000003,-0.0026395857547169815
16250,2.6983449056603774,0.0911750275471698,-0.0014839435094339622
16000,2.1671966603773587,0.037070910188679244,-0.0008608648324528302
15500,1.0,0.0,0.0
15000,0.29596473396226414,-0.001847267169811321,5.1712030566037733e-05
14500,0.05999429509433962,-0.0004733397150943396,1.681967075471698e-05
14000,0.00973978241509434,-7.513701018867924e-05,3.5276241509433957e-06
