Wave-Number,Long,Medium,Short
25500,0.008967715837756839,0.0046441289660567805,0.00918269995313923
25000,0.03734034372760135,0.02047379642613666,0.040190065823244615
24500,0.12212819756300605,0.06966562832956764,0.14438736571146793
24000,0.2739367616899022,0.17885011000221263,0.365427345823283
23500,0.4688773733123518,0.36065323418467726,0.6296813475516981
23000,0.7262855014418482,0.6505908062247481,0.8715373856817245
22500,1.0,1.0,1.0
22000,1.3250967167989487,1.403719606246141,0.9201686923134614
21500,1.9131425907476527,2.055905323533172,0.7421697926169813
21250,2.292619671429283,2.429482907068123,0.5975054687060378
21000,2.7164194694050647,2.808563823751933,0.4446204791109434
20750,3.292481774740484,3.3048391241750887,0.3212200656939623
20500,3.902262518973245,3.7905191097669055,0.22108073160905659
20250,4.774923975880921,4.462099272204536,0.15011499610339624
20000,5.794379997903065,5.192968828162839,0.09713732152
19750,7.028369409980274,6.047445688173104,0.06124683357735851
19500,8.406176091356604,6.902150971099916,0.03658590118226415
19250,9.886495118576356,7.758452286727772,0.020441922654716983
19000,11.09249,8.265895,0.0106
18750,12.147064237926383,8.573759265599167,0.005432480939622642
18500,13.270080228527021,8.790758278044004,0.002768775294339623
18250,13.832716328619142,8.549591326219078,0.0011029565845283012
18000,14.425781782551848,8.202231292769914,0.0005033693377358463
17750,14.722379023720698,7.550794424204557,0.00020939445547169672
17500,14.79059180246445,6.645897520842075,6.489896754716812e-05
17250,14.209035060406869,5.41924990493416,0.0
17000,13.654628553335245,4.252039750239283,0.0
16750,12.40807211947449,3.0541176139475095,0.0
16500,10.759057354585511,2.001769507428604,0.0
16250,8.689906106642743,1.207979872351164,0.0
16000,6.578625137689069,0.6716592493925058,0.0
15500,2.846201,0.168926,0.0
15000,0.8219360411902359,0.03477853421726792,3.213099856603773e-05
14500,0.16552212630627244,0.006238839579561405,1.180226977471698e-05
14000,0.026891449539627046,0.001027755471569617,2.731171842943396e-06
